"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
17,-229.973149872875,128.367503778991,74.3829014912122
17.2,-232.778643944222,103.395483424069,97.9255094043956
17.4,-231.961691448967,76.7937933364973,119.825961154909
17.6,-227.331359906053,49.2054330955868,139.989767505411
17.8,-218.757407001875,21.3107173528632,158.368837451798
18,-206.967136960116,-7.08514916697101,174.022741803261
18.2,-191.890003249434,-35.3329355677071,186.923908825592
18.4,-176.115214690877,-65.3813661491009,194.497856147739
18.6,-164.088448893805,-101.030543229973,192.531765762921
18.8,-148.925074956063,-134.636730578614,188.102443279144
19,-129.235750694291,-164.143025330782,182.801447885236
19.2,-115.893352778191,-199.977107404027,166.138355921888
19.4,-101.380837515574,-234.093536757999,145.918622675599
19.6,-70.0773200643959,-250.479313163631,137.89224537034
19.8,-20.9655363793196,-244.025452221456,144.815758055023
20,11.3175642317337,-250.498019544352,132.352574637987
20.2,36.461963949127,-259.986882056058,110.896403803813
20.4,63.0812355772045,-263.29155335405,89.8178315573714
20.6,93.0850806782713,-258.01978175305,71.7713941882492
20.8,123.706657811559,-246.590815413521,54.6371951978614
21,152.423543699088,-231.445190589932,36.5679798537571
21.2,176.812122442044,-214.645188117477,15.9785036036153
21.4,197.598365945908,-195.34930363007,-5.71185614697794
21.6,214.67228193282,-173.637643232595,-27.9138346474156
21.8,226.909191427599,-150.716891922949,-51.1521821064828
22,234.419829242089,-126.693398238169,-74.8242458707726
22.2,236.717683447562,-102.220572575406,-98.844041249897
22.4,235.660910398584,-75.8587623089582,-120.958798807138
22.6,230.721011969858,-48.5650064842341,-141.359643575914
22.8,222.090354841303,-20.6787478269366,-159.663938085065
23,209.797621503055,7.22816394215647,-175.731616499279
23.2,194.904844857884,35.6164157668512,-188.42941569142
23.4,178.892554426321,65.3222063594971,-196.284830346682
23.6,165.991094497846,99.9997390830212,-195.174490623923
23.8,153.177754153585,135.889172017457,-188.422583893392
24,136.736251455213,168.533649117683,-179.984386839269
24.2,128.520167127855,209.497123633095,-158.31163450271
24.4,124.417659446553,254.807270295511,-127.632066503409
24.6,69.7606091900088,247.485605162458,-143.022945830147
