"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
23.8,0.27035631099795,-0.334808088590587,-0.012139720136208
24,0.297703561288993,-0.301101358767051,-0.0481365975040617
24.2,0.323407594714564,-0.259201934040432,-0.0797989244046037
24.4,0.348291126603874,-0.20824047998133,-0.105325337705286
24.6,0.362243248441876,-0.158743358948838,-0.133929926871315
24.8,0.365608478699175,-0.11134163408964,-0.164713309423605
25,0.363090419532466,-0.0620569413661012,-0.192443461869896
25.2,0.3552434491424,-0.0111562841159616,-0.216175313311196
25.4,0.341797377384715,0.0401584675801366,-0.235938768070215
25.6,0.322058202031668,0.090151609650598,-0.25233953516966
25.8,0.296370384134128,0.13808113317914,-0.265086166641655
26,0.265594098727983,0.183651693626713,-0.273532584221905
26.2,0.230242638593657,0.226172807162741,-0.277531274165411
26.4,0.19101696077588,0.265118185738546,-0.276887235367645
26.6,0.148724958947988,0.3000683737741,-0.271435326836463
26.7999999999999,0.103993293559742,0.330444911685934,-0.261307650511478
26.9999999999999,0.0578150394220549,0.356069688377679,-0.246380358979414
27.1999999999999,0.0110830418849458,0.376711265829675,-0.226738035969158
27.3999999999999,-0.035486560489747,0.392028583121867,-0.202718788261636
27.5999999999999,-0.0811106603940216,0.401847567740335,-0.174650993607245
27.7999999999999,-0.12501153146497,0.406092055203402,-0.142907045472355
27.9999999999999,-0.166563357185052,0.404652001992579,-0.108038003734965
28.1999999999999,-0.205094998031977,0.397570127855108,-0.0705872759144371
28.3999999999999,-0.240477591851,0.384476471719183,-0.0316266275605203
28.5999999999999,-0.273418840687523,0.364295883505557,0.00697822685863534
28.7999999999999,-0.30340882954154,0.337314927789634,0.0446170766089847
28.9999999999999,-0.329776278999804,0.304126240152421,0.0808907156049969
29.1999999999999,-0.353591568466085,0.263652024496408,0.113716996377628
29.3999999999999,-0.374703750589029,0.216124036126623,0.142303035867058
29.5999999999999,-0.388860696093735,0.166021952361565,0.169977111901296
29.7999999999999,-0.392828825303263,0.117585829580327,0.199412854106853
30,-0.390453133157201,0.0677433643821203,0.2262496136796
