"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
23.8,115.892006062509,-26.4062987167892,-89.4857073457196
24,111.787504514915,-14.0498107049437,-97.7376938099712
24.2,106.839339531379,-3.32742597951819,-103.511913551861
24.4,103.185493198699,3.14659657611486,-106.332089774814
24.6,99.1688346046844,9.62570483067696,-108.794539435361
24.8,89.8373569275601,21.3060152278359,-111.143372155396
25,78.1112856291801,33.9937507365967,-112.105036365777
25.2,64.8933483398964,46.4004067614592,-111.293755101356
25.4,50.4899793324383,58.1221824370149,-108.612161769453
25.6,35.023870524447,69.1560806986112,-104.179951223058
25.8,19.0541526923295,78.9391999348861,-97.9933526272156
26,2.75870669836792,87.2919127102825,-90.0506194086505
26.2,-13.6848160603096,94.1288966069246,-80.444080546615
26.4,-30.0109923942669,99.3576265092588,-69.3466341149919
26.6,-45.9453583220589,102.810902683043,-56.8655443609839
26.7999999999999,-61.1156593578771,104.366761353072,-43.2511019951948
26.9999999999999,-75.2457939703371,103.997482975761,-28.7516890054239
27.1999999999999,-88.2179929291785,101.713926104194,-13.4959331750155
27.3999999999999,-99.8202625380342,97.6414763432993,2.17878619473488
27.5999999999999,-109.698232816011,91.7274292692685,17.9708035467425
27.7999999999999,-117.575832191418,84.0962919432319,33.4795402481857
27.9999999999999,-123.255002851464,74.8602294694461,48.3947733820175
28.1999999999999,-126.967483488144,64.2613263563816,62.7061571317619
28.3999999999999,-128.712305152889,52.641367810697,76.0709373421917
28.5999999999999,-128.444798965082,40.5364751271497,87.9083238379322
28.7999999999999,-126.258900957934,28.2465045558585,98.0123964020759
28.9999999999999,-122.364005646074,16.0299120147606,106.334093631314
29.1999999999999,-117.629507489082,5.19634762711482,112.433159861967
29.3999999999999,-112.975477694643,-3.08103821491487,116.056515909558
29.5999999999999,-109.350282922715,-9.05558538079126,118.405868303506
29.7999999999999,-100.46630430694,-20.3186268761694,120.78493118311
30,-88.7469486036419,-33.219630745115,121.966579348757
