"Time [ms]","Moving1.Torque [NewtonMeter]"
0,-0.0137924413159779
0.2,-34.9336382902331
0.4,-69.2266252231625
0.6,-93.5422121025879
0.8,-107.247654219582
1,-109.32151382026
1.2,-98.1279270944406
1.4,-75.3664200816529
1.6,-42.8740314040479
1.8,-2.32706261827534
2,44.7209538949335
2.2,95.5108691099471
2.4,146.43102297218
2.6,195.575809826925
2.8,241.262414782381
3,282.085215034087
3.2,316.987726384522
3.4,346.691213399973
3.6,372.721560103069
3.8,392.492588014291
4,407.09949434185
4.2,418.521495841359
4.4,440.668650873261
4.6,441.88537874075
4.8,431.211824087708
5,418.432255360159
5.2,404.549651556354
5.4,389.743773663462
5.6,373.679854824824
5.8,356.952642749445
6,341.126789522851
6.2,327.608533483145
6.4,316.743343205282
6.6,308.335469522609
6.8,303.625651471479
7,303.138318898847
7.2,306.970725352945
7.4,314.343508832064
7.59999999999999,325.496175816819
7.79999999999999,341.251747004795
8,360.106466112701
8.2,381.323275770911
8.4,404.612663725454
8.6,432.564618722055
8.8,461.284617644244
9,487.16188388726
9.2,510.573271046823
9.4,532.421886384348
9.6,556.261218327516
9.8,560.286936835698
10,553.424472777017
10.2,541.540893287842
10.4,525.940139238257
10.6,506.598492375295
10.8,484.292632477392
11,461.088863846826
11.2,438.299698253824
11.4,416.289277808162
11.6,395.29255442291
11.8,377.021046110789
12,362.59183190685
12.2,351.538233382056
12.4,343.291567242753
12.6,338.280731072055
12.8,338.031542379809
13,341.540354391715
13.2,347.918992749547
13.4,356.959905975695
13.6,370.696356346609
13.8,388.791789952341
14,405.759273014641
14.2,423.579487187762
14.4,449.642882234748
14.6,464.178266043877
14.8,460.714138153265
15,450.652801652609
15.2,437.313596704862
15.4,421.973222285246
15.6,405.265086151125
15.8,387.150602611578
16,369.53260452607
16.2,353.811852515406
16.4,340.119052871574
16.6,328.835695710534
16.8,320.668246416828
17,317.066696195669
17.2,317.15732919652
17.4,320.809183076963
17.6,328.03236649145
17.8,339.691532293528
18,355.095669142541
18.2,372.581184673406
18.4,392.606500388422
18.6,417.125805011809
18.8,443.514894843875
19,467.34954648161
19.2,489.345687412554
19.4,511.44727809109
19.6,533.830163373623
19.8,536.418713430198
20,528.629740356232
20.2,516.537495047573
20.4,501.016496332477
20.6,482.356492136806
20.8,461.069204349809
21,439.149757771815
21.2,418.258943572233
21.4,398.143081210726
21.6,379.723165949881
21.8,363.893955233204
22,351.994328515218
22.2,343.67386629664
22.4,338.178989192306
22.6,336.201399566614
22.8,338.48436173994
23,345.107521435758
23.2,354.140767824554
23.4,365.721860723233
23.6,382.005414189077
23.8,401.794063003452
24,420.75672448706
24.2,439.219452803863
24.4,463.755315484243
24.6,481.012802807088
24.8,478.894433209431
25,469.280280039427
25.2,456.072544032541
25.4,440.847799959416
25.6,423.461476629455
25.8,404.773867578311
26,386.028110884013
26.2,369.063263462631
26.4,353.812945055222
26.6,340.731803730867
26.7999999999999,330.790571875929
26.9999999999999,325.017076736858
27.1999999999999,323.261435375404
27.3999999999999,324.610160219836
27.5999999999999,329.713669543337
27.7999999999999,339.157822083321
27.9999999999999,352.321727016
28.1999999999999,367.895221205011
28.3999999999999,385.779035845776
28.5999999999999,408.521987485586
28.7999999999999,433.221242457773
28.9999999999999,456.088792227177
29.1999999999999,477.264431705012
29.3999999999999,499.431018735243
29.5999999999999,521.201382643708
29.7999999999999,522.693974046768
30,514.478242038397
