"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
13,0.324461986103269,-0.197187874268798,0.346784190665324
13.2,0.372127248822685,-0.182904798709816,0.314312273463444
13.4,0.415078655884559,-0.16408298780837,0.278791688329642
13.6,0.452735166026908,-0.140917049258852,0.240881958334566
13.8,0.48248218908177,-0.115808230585001,0.199160493242467
14,0.503319002894554,-0.0897043665395446,0.153739684178224
14.2,0.515761348074447,-0.0621927987582649,0.106145686443495
14.4,0.519017231834963,-0.034322575067067,0.0564992035459709
14.6,0.513802702442395,-0.00577745783538645,0.00632162467802207
14.8,0.499850884670153,0.0226392336099156,-0.0439630949678627
15,0.477662931609833,0.0507771855172667,-0.0932872069465927
15.2,0.448715895769097,0.0793279116352069,-0.139755626457122
15.4,0.41226061467855,0.106639143517919,-0.183839968580065
15.6,0.361534644594515,0.124999859590617,-0.232133318375099
15.8,0.297570096995873,0.134394523029652,-0.283595565670165
16,0.217485472326421,0.130832182019387,-0.341245816430688
16.2,0.147022259339717,0.138750107110815,-0.37974583543323
16.4,0.0761215714851333,0.146847382692829,-0.409636307833539
16.6,0.00632090527151553,0.155396494942631,-0.430046936974109
16.8,-0.0579368393098836,0.167550784219525,-0.437370058328564
17,-0.117685474648305,0.181036063769798,-0.433580629638146
17.2,-0.17088193198229,0.196716787856741,-0.417675014839637
17.4,-0.223760115170553,0.207277937266784,-0.396980251291482
17.6,-0.277559539565805,0.21048105779446,-0.373910293392844
17.8,-0.3299612043355,0.207758602696251,-0.347354632028538
18,-0.379509235941754,0.199796760224776,-0.317096316632
18.2,-0.424348497737066,0.187797590690587,-0.28255679887918
18.4,-0.463997899777468,0.171725563981751,-0.244518883706768
18.6,-0.498793396739235,0.150867426275286,-0.204544703050317
18.8,-0.52612150815965,0.127632040472721,-0.161205202268775
19,-0.545554268828867,0.102394909799427,-0.115174642037345
19.2,-0.556898432165525,0.0754488844281724,-0.0672651518075742
19.4,-0.559415563169197,0.0477940468217524,-0.0176561374676116
19.6,-0.553819447526227,0.0191204447415313,0.0321382386286432
19.8,-0.540545999372086,-0.0104638071934492,0.0810018531246696
20,-0.51988495771398,-0.0405863188010233,0.128080649542282
20.2,-0.49133044743418,-0.0699699190825294,0.173453973100225
20.4,-0.457708716249467,-0.10052896541453,0.214023342736657
20.6,-0.415380535673691,-0.127647473748379,0.253281074609021
20.8,-0.360414939810959,-0.146353213350802,0.295143957645281
21,-0.295522583424222,-0.15822381508633,0.337083456657895
21.2,-0.217378232773365,-0.158760589185482,0.382732769372439
21.4,-0.148883280631607,-0.169540973059299,0.409742582501738
21.6,-0.0745721103126855,-0.173879284407205,0.434171805684986
21.8,-0.00302805614442127,-0.179088240836073,0.448249026249711
22,0.0626386078944769,-0.187026463182411,0.449813314184005
22.2,0.121847194180879,-0.197083652265767,0.43933218223507
22.4,0.176036261804095,-0.206729755421542,0.419366311916922
22.6,0.230276261368596,-0.209901529728361,0.396151893763595
22.8,0.284050959727763,-0.206225896565864,0.370385890738157
23,0.335117427908606,-0.197175081037899,0.341060357365018
23.2,0.382370151881289,-0.183208240229198,0.30831954853839
23.4,0.424584854844538,-0.165024521536279,0.272210637523745
23.6,0.461665993626682,-0.14233339816907,0.233879346738605
23.8,0.490847320335929,-0.11768998966546,0.191748484833692
24,0.511465607680513,-0.0917082177349827,0.146262179331929
24.2,0.523730982186607,-0.0642765849176511,0.0986439412231454
24.4,0.526877040451784,-0.0364225911488806,0.0490366583150556
24.6,0.521572445829818,-0.00787783858547876,-0.00108368680630554
24.8,0.507790753090554,0.0207961402941545,-0.0510569964830807
25,0.485835344662318,0.0492475478754102,-0.100010628255302
25.2,0.456898260514276,0.0778879759093241,-0.146333192763643
25.4,0.421161916443638,0.105991287368551,-0.189571182733083
25.6,0.372274871680639,0.126253201055865,-0.235904988201464
25.8,0.310526986480187,0.137915901241924,-0.285041001242934
26,0.232847223744489,0.136799003616999,-0.340188984290366
26.2,0.160808517049554,0.143195814799485,-0.380164717992024
26.4,0.0902285209167047,0.151662446568428,-0.409645126013005
26.6,0.018848593132782,0.158691342995449,-0.431533727990515
26.7999999999999,-0.0465516456522813,0.169767473023684,-0.43989494278477
26.9999999999999,-0.107682923655679,0.181939052390629,-0.437374029581102
27.1999999999999,-0.161674350608389,0.196897481517625,-0.422149555357776
27.3999999999999,-0.214631767930719,0.207452135783072,-0.401420941029493
27.5999999999999,-0.268593793983288,0.210569702521446,-0.378397727895626
27.7999999999999,-0.321254822247321,0.207665403704936,-0.351986880998289
27.9999999999999,-0.371104898482163,0.199483070238875,-0.321911282230657
28.1999999999999,-0.41650760641346,0.187005244864441,-0.28781166532884
28.3999999999999,-0.456608821312962,0.170564774841161,-0.250100699468809
28.5999999999999,-0.491826362261049,0.149368938344192,-0.210422222426466
28.7999999999999,-0.519408538005024,0.125961017420418,-0.167211738249361
28.9999999999999,-0.539040915369031,0.100607060024153,-0.121255880128324
29.1999999999999,-0.550607224395798,0.0735202552290052,-0.0734479418372097
29.3999999999999,-0.553288041115789,0.0457801294028007,-0.023879049350166
29.5999999999999,-0.547766150088017,0.0171115035565795,0.0259619764811045
29.7999999999999,-0.534440582800298,-0.0123452657838853,0.0749943738063828
30,-0.513578002472368,-0.0421954802018966,0.122388639009951
