"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
7.59999999999999,-0.0614973727625424,0.462805812790732,-0.0924147188777175
7.79999999999999,-0.108821901775455,0.464557732754372,-0.0645948484835982
8,-0.154592105580855,0.459727098511605,-0.0344905930925224
8.2,-0.198201395388841,0.448294231941366,-0.00268926659189981
8.4,-0.238715756564002,0.430674691768076,0.0305685330602051
8.6,-0.276829412859791,0.405764491458546,0.0634342992591313
8.8,-0.313277262299899,0.372523035056244,0.0940318901856939
9,-0.346065420375286,0.332820627764629,0.123259510836254
9.2,-0.375440779241966,0.286399242028842,0.1498362992475
9.4,-0.40139989145589,0.233425125647853,0.172832592191158
9.6,-0.423989860683069,0.174022747098025,0.191336104452941
9.8,-0.434156729845468,0.118132440021899,0.213723925502021
10,-0.438385733146247,0.0601254725087478,0.232994246817382
10.2,-0.435694363095009,0.00193398879254314,0.249793369596039
10.4,-0.426817234835087,-0.0561764744562491,0.263214608328076
10.6,-0.412350068273677,-0.113723451418512,0.272618380441169
10.8,-0.391838315231072,-0.16907957339127,0.278561824587075
11,-0.36525433167761,-0.22104510307314,0.281287530331034
11.2,-0.333164061066968,-0.2690191594308,0.280560436766836
11.4,-0.295855281830932,-0.312084401993369,0.276568748854626
11.6,-0.254487981894404,-0.350163315251654,0.268781989403696
11.8,-0.210187276210278,-0.383154558343092,0.256836970582485
12,-0.16404345656619,-0.410943450465856,0.240525543516336
12.2,-0.116522364586278,-0.43286398244909,0.220356317829068
12.4,-0.0679412607667248,-0.448173661501776,0.19707289739421
12.6,-0.019253009466186,-0.4568489314746,0.170844724693141
12.8,0.0287451534449062,-0.458823121588363,0.142034751937373
13,0.0749307607880239,-0.454463936853188,0.110710593028162
13.2,0.118763114361568,-0.443691273259996,0.0775239816367144
13.4,0.15991890834355,-0.426330681341546,0.043348308023017
13.6,0.198991813319978,-0.401399115988624,0.00990458214833977
13.8,0.238039662264633,-0.366525375922961,-0.0196621479215763
14,0.274420118693957,-0.324230156214455,-0.0469039898938759
14.2,0.310015478717117,-0.272569824450108,-0.0689295854452661
14.4,0.341346485271667,-0.215108634730749,-0.0882423913951887
14.6,0.367583083766265,-0.15289920717823,-0.10480382711171
14.8,0.378347578672332,-0.0972754709152384,-0.128337174515364
15,0.381395020176808,-0.0413632840316253,-0.150590406034842
15.2,0.377538436852473,0.0147221977312392,-0.170390925375691
15.4,0.367837321029027,0.0710842084783288,-0.186448170081503
15.6,0.352148102181872,0.126525881052146,-0.198825777831726
15.8,0.329963397180161,0.179394089450052,-0.208091562986277
16,0.301822191034399,0.229081723175996,-0.213902621854974
16.2,0.268849893726883,0.275511888569616,-0.215488157887275
16.4,0.231632396487409,0.318021059706845,-0.212774669658385
16.6,0.190983112821101,0.356159917702308,-0.205607384572525
16.8,0.147685215722345,0.389477148708554,-0.193980433664196
17,0.102118230867748,0.417164488469774,-0.178401845046503
