"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
15.6,-78.446094235774,277.208362869085,-61.8880387511164
15.8,-110.923525008557,264.341041989531,-46.3289257727528
16,-140.706030728811,248.438168629718,-29.0552943434855
16.2,-164.861486537578,232.1508269681,-7.92768016150525
16.4,-186.087486197368,212.545855686143,13.5674411444486
16.6,-203.246418331544,190.694289977316,35.8364254293009
16.8,-216.489485493776,166.586155031229,58.1347545416427
17,-227.83492427299,138.436698806101,77.8929430884676
17.2,-236.345518477845,107.430694027255,95.5751681471831
17.4,-241.363714274804,74.6368706533718,111.472025980953
17.6,-242.002280269373,41.3880019228913,126.18805688758
17.8,-237.265516884372,9.18995725054716,140.49548445316
18,-229.171994021877,-23.4051006892688,152.212833181512
18.2,-218.372548518102,-56.4317418167526,160.636059309817
18.4,-204.065224832167,-88.4708565326681,166.709029001238
18.6,-192.533083821115,-125.333298277826,164.30450495456
18.8,-186.210158538358,-168.940919708573,151.012345435699
19,-169.400962258762,-202.688691915527,142.745693943119
19.2,-154.585127837001,-238.540420839021,127.346373397289
19.4,-135.422856936824,-269.309822084625,111.526436784664
19.6,-117.350513005391,-300.395129312096,90.2628962817971
19.8,-50.1089018938364,-277.61910199996,114.94854737853
20,-19.5978145803044,-287.337043459571,100.257783651336
20.2,14.7780861951366,-288.435097281298,87.7301030851395
20.4,44.8831461824184,-288.856614950732,69.9876361233645
20.6,73.4237754502914,-285.495092764011,50.4434310991359
20.8,104.283681051037,-273.978778101732,33.643838936559
21,134.900653086578,-256.90201539568,17.6343668329901
21.2,162.542309588226,-236.957732606915,0.317106396843791
21.4,186.998151525923,-214.098374155927,-17.7712322608176
21.6,206.01705833839,-190.451793489113,-38.0965829339289
21.8,219.909391012374,-165.754865211498,-59.7085894467905
22,229.606363729037,-139.289131017113,-81.1103789213699
22.2,237.153760797604,-109.261663177127,-99.7261643189157
22.4,242.352031407588,-76.2954904672641,-115.406098269267
22.6,243.153084301211,-42.8690902366063,-129.884230734061
22.8,239.209666897636,-9.85251429146544,-143.308878547248
23,230.41976008502,22.0735515321385,-155.633575576987
23.2,219.001043334407,54.4900926381098,-164.605676755974
23.4,205.618637517311,87.4152869562775,-169.626405040963
23.6,195.058471682739,125.155227130573,-166.149786680307
23.8,193.724040668365,173.679026479623,-147.959224083656
24,179.955932035085,210.373217446876,-136.768786538837
24.2,173.16067497457,254.319671614212,-113.504425829934
24.4,150.958305307411,282.320499405188,-100.809474107889
24.6,120.193929354962,300.602368856604,-92.2511251691823
24.8,59.9754626045593,285.058801463828,-110.026043580569
25,16.0294541019237,281.1357939283,-108.9410297323
25.2,-18.4306996338196,282.065319849408,-96.6053649927406
25.4,-47.7719132330573,283.294648423656,-78.0533177917658
25.6,-76.8182260265859,279.552288058517,-58.8012160817916
25.8,-109.585503492419,266.334065017094,-43.6207891735689
26,-139.489868080157,250.241044248958,-26.5504814292716
26.2,-165.006164596159,232.587253495304,-6.82765891210302
26.4,-186.29053312063,212.923494857104,14.583166643017
26.6,-203.915108473885,190.640059387819,36.3988032386281
26.7999999999999,-217.180195098221,166.516018633774,58.6605452053675
26.9999999999999,-228.028688787328,138.858814216671,78.9175024732761
27.1999999999999,-236.701306270438,107.712897075735,96.4349305418553
27.3999999999999,-241.546421336705,75.0789669489554,112.489091050333
27.5999999999999,-242.318912084667,41.695785527045,127.058303357406
27.7999999999999,-237.661738350634,9.40369970727883,141.251910739429
27.9999999999999,-229.437106011244,-23.0500943585088,153.115405354663
28.1999999999999,-218.588852664504,-56.03655544692,161.538865247192
28.3999999999999,-204.595983842153,-88.3815406763055,167.259894154633
28.5999999999999,-193.422650705581,-125.558406687719,164.501153595838
28.7999999999999,-187.934532699293,-169.9858624797,150.389959211177
28.9999999999999,-172.448827977187,-205.016379673151,140.850161494433
29.1999999999999,-159.266950591923,-242.524170830596,123.839551774702
29.3999999999999,-138.204275531502,-271.436988806672,109.967041871719
29.5999999999999,-112.990269788937,-295.228559774903,95.8008293276022
29.7999999999999,-57.8040785732914,-284.751906831726,108.502681876031
30,-18.5521875741024,-285.642218439499,102.60771949908
