"Time [ms]","FluxLinkage(PhaseA) [Wb]","FluxLinkage(PhaseB) [Wb]","FluxLinkage(PhaseC) [Wb]"
19,-0.350096002051569,0.283939040360401,0.0805527176186131
19.2,-0.362394601954827,0.2549659514345,0.124696990622265
19.4,-0.369695029086507,0.221675654022566,0.166909271720466
19.6,-0.372138133841848,0.184351993471739,0.206277550688506
19.8,-0.370113246969296,0.143169039446817,0.241741270570865
20,-0.363463693648842,0.0989739441882489,0.272918767212742
20.2,-0.35184215884968,0.0529203525291638,0.299769542237088
20.4,-0.334987268086778,0.00616470713731695,0.322301956314634
20.6,-0.312580029009324,-0.040007554662059,0.340713074796169
20.8,-0.28499524155899,-0.0849104079086634,0.354660173159046
21,-0.252887818992296,-0.128066742897804,0.363708626019712
21.2,-0.216720614558748,-0.168756182306981,0.367773528883416
21.4,-0.176891547510904,-0.206159991910236,0.366974662472537
21.6,-0.133789223922226,-0.239433770548743,0.361573231656388
21.8,-0.0883850212501268,-0.268338274574384,0.351362522786786
22,-0.0418936465204642,-0.292924105611308,0.335989798589934
22.2,0.00435256276122376,-0.313400769890402,0.315074958473433
22.4,0.0494623258130602,-0.329623423114993,0.288744228288118
22.6,0.0931820334019047,-0.340889414969015,0.257862401864184
22.8,0.134842104117523,-0.347017458408919,0.222930968340458
23,0.173707700639058,-0.348009375577781,0.184418963274765
23.2,0.209100930060323,-0.343923629237082,0.142868532872252
23.4,0.240405833090862,-0.334876765243075,0.0988848444270841
23.6,0.267440617692772,-0.320683638935673,0.0534804500471373
23.8,0.290323504983147,-0.301009219737219,0.00790281417574368
24,0.308775559236525,-0.276074979979649,-0.037058450853713
24.2,0.322115529086109,-0.246670868234447,-0.0810930471877158
24.4,0.330255418246005,-0.213154210333573,-0.123404514353486
24.6,0.333139480428867,-0.175996813253676,-0.163268087957118
24.8,0.330759329912003,-0.135763732020227,-0.20003308195958
25,0.323277139182098,-0.0929720229665292,-0.232988544247676
25.2,0.310589526883343,-0.0485105711181729,-0.261824209126196
25.4,0.292483184891248,-0.00348020514890158,-0.286485840162347
25.6,0.269275699043261,0.0414468123751676,-0.306549778672298
25.8,0.241480208233708,0.0857063812933487,-0.321564941332214
26,0.209426749689251,0.128490379964657,-0.33141527281991
26.2,0.173587135171668,0.169086155925354,-0.335999900958882
26.4,0.134395659524334,0.206712793618918,-0.335395047644309
26.6,0.09229730821793,0.240587086011298,-0.329793340201997
26.7999999999999,0.0481158651094461,0.270314413743756,-0.319127641379758
26.9999999999999,0.00303137113463907,0.295907097969728,-0.303070249458684
27.1999999999999,-0.0420466169158923,0.317162727787426,-0.28166660179923
27.3999999999999,-0.0866996766260173,0.333450017409392,-0.255550168773467
27.5999999999999,-0.130101226671171,0.344642957102074,-0.225014957341247
27.7999999999999,-0.171437685414628,0.350705405168487,-0.190418121406039
27.9999999999999,-0.209888700604386,0.351722414624623,-0.152142494604384
28.1999999999999,-0.244438462526146,0.348066867901627,-0.11042024453468
28.3999999999999,-0.274844679834785,0.339485065774858,-0.0662247688831982
28.5999999999999,-0.301057517283444,0.325675055027148,-0.020686027409773
28.7999999999999,-0.323083077175057,0.306411643428202,0.0250533857879744
28.9999999999999,-0.34064151223921,0.281916527775244,0.0702033274994115
29.1999999999999,-0.353190213019858,0.252842121608118,0.114319314897609
29.3999999999999,-0.36067955494318,0.219510278037882,0.156572161974945
29.5999999999999,-0.363227985323054,0.182232122293627,0.196064607228338
29.7999999999999,-0.361078398041245,0.141322234482545,0.231887842207937
30,-0.354256124342806,0.0974431930290893,0.2634738329443
