"Time [ms]","ElecPower []","MechPower []"
17.8,35875.9836455619,28875.1747300812
18,35760.9806616248,29199.6295558525
18.2,35753.2829337593,29454.5483068297
18.4,35792.7314436261,29684.2401822993
18.6,35802.6648313107,29930.1207284997
18.8,35725.17594446,30195.8353337668
19,35514.2312778186,30405.3881766468
19.2,35147.7136696242,30565.0802701216
19.4,34716.5529109715,30720.1638071498
19.6,34251.0651945077,30852.2778340082
19.8,33896.5115368892,30923.0645234137
20,33670.5418524035,30906.6415118961
20.2,33518.5624229689,30886.0783380612
20.4,33373.0458582417,30866.3353419252
20.6,33132.2099833757,30822.5663607136
20.8,32814.4922123129,30712.512181706
21,32393.3587030536,30587.0032293733
21.2,31938.1582545851,30486.375544832
21.4,31556.1963462129,30323.2070295769
21.6,31346.0542112977,30104.153494348
21.8,31286.7716135608,29849.1617712626
22,31289.6324935229,29622.1212008036
22.2,31324.0700342774,29416.5221882913
22.4,31238.3408839671,29173.9483520063
22.6,31104.5127617162,28924.81381072
22.8,30962.8114562187,28706.0201249049
23,30860.6512914767,28522.5164372962
23.2,30861.4691807426,28285.7074268204
23.4,31015.3662557357,28034.2215144086
23.6,31291.0723342465,27832.4911449001
23.8,31533.5743020554,27678.4468402561
24,31707.6743956783,27542.7709336737
24.2,31851.0147441162,27382.4042698666
24.4,31956.660210376,27301.6505044664
24.6,32078.4622306779,27247.533975589
24.8,32252.8342957453,27190.809345279
25,32550.6171696126,27119.2197309214
25.2,32905.9466132975,27094.3953642283
25.4,33234.0006921912,27153.2342835643
25.6,33495.2961892423,27218.979812988
25.8,33683.6026978664,27283.8863214912
26,33808.7145608771,27365.6385065642
26.2,33897.6055309251,27511.5975678432
26.4,34015.483974489,27648.8305030317
26.6,34216.524818696,27760.7248743948
26.7999999999999,34503.0538715151,27885.0658305378
26.9999999999999,34744.2830137721,28071.8743342955
27.1999999999999,34872.7121689433,28288.0969631715
27.3999999999999,34913.9644934338,28465.9498105137
27.5999999999999,34858.3500942117,28641.1845068233
27.7999999999999,34731.3240034633,28839.8577534827
27.9999999999999,34578.3466372454,29032.9515287103
28.1999999999999,34587.3430390063,29178.9441264203
28.3999999999999,34665.8315887387,29289.4604135658
28.5999999999999,34733.9868301161,29441.3208100024
28.7999999999999,34729.316597918,29602.9937886354
28.9999999999999,34605.6004570453,29737.8593197605
29.1999999999999,34375.5293807595,29823.1940630007
29.3999999999999,34037.3118338341,29912.195479258
29.5999999999999,33726.6606501379,30013.789845668
29.7999999999999,33494.6431629135,30049.6814271828
30,33397.5143451448,30026.2231630817
